heatmap_Accuracy,heatmap_Sensitivity,heatmap_Specificity,cluster_Accuracy,cluster_Sensitivity,cluster_Specificity,cluster_overlay_Accuracy,cluster_overlay_Sensitivity,cluster_overlay_Specificity,contour_Accuracy,contour_Sensitivity,contour_Specificity
0.5,1.0,0.0,1.0,1.0,1.0,0.625,0.75,0.5,0.875,0.75,1.0
0.625,1.0,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.875,1.0,0.75
0.5,1.0,0.0,1.0,1.0,1.0,0.625,1.0,0.25,0.875,1.0,0.75
0.625,0.75,0.5,1.0,1.0,1.0,0.625,1.0,0.25,0.875,1.0,0.75
0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
0.75,1.0,0.5,0.875,0.75,1.0,0.375,0.5,0.25,0.875,0.75,1.0
0.75,1.0,0.5,0.875,1.0,0.75,0.75,0.75,0.75,0.625,0.5,0.75
0.375,0.75,0.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0
0.5,0.5,0.5,0.875,0.75,1.0,0.5,1.0,0.0,0.75,1.0,0.5
0.625,0.5,0.75,0.75,1.0,0.5,0.375,0.75,0.0,0.75,1.0,0.5
0.75,1.0,0.5,0.75,0.5,1.0,0.625,0.75,0.5,1.0,1.0,1.0
0.5,0.75,0.25,0.75,0.5,1.0,0.625,0.5,0.75,0.875,0.75,1.0
0.5,0.75,0.25,0.875,1.0,0.75,0.625,0.5,0.75,0.875,0.75,1.0
0.625,1.0,0.25,1.0,1.0,1.0,0.75,0.75,0.75,0.875,0.75,1.0
0.875,0.75,1.0,0.875,0.75,1.0,0.75,0.5,1.0,0.75,0.5,1.0
0.625,0.5,0.75,0.75,0.5,1.0,0.875,0.75,1.0,0.625,0.25,1.0
0.625,0.75,0.5,0.875,0.75,1.0,1.0,1.0,1.0,0.875,0.75,1.0
0.5,0.75,0.25,0.875,0.75,1.0,0.5,0.75,0.25,0.75,0.5,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.875,1.0,0.75,1.0,1.0,1.0
0.875,1.0,0.75,0.75,0.75,0.75,0.625,0.75,0.5,0.625,0.5,0.75
0.625,0.75,0.5,0.875,0.75,1.0,0.75,0.5,1.0,0.625,0.25,1.0
0.625,0.75,0.5,1.0,1.0,1.0,0.625,0.75,0.5,0.875,0.75,1.0
0.375,0.75,0.0,1.0,1.0,1.0,0.5,0.75,0.25,0.875,1.0,0.75
0.625,1.0,0.25,1.0,1.0,1.0,0.625,1.0,0.25,1.0,1.0,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.75,0.25,0.625,0.5,0.75
0.5,0.5,0.5,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
0.625,0.5,0.75,0.875,0.75,1.0,0.625,1.0,0.25,0.875,0.75,1.0
0.625,0.75,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,1.0
0.625,1.0,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.875,0.75,1.0
0.5,0.75,0.25,0.625,0.5,0.75,0.625,1.0,0.25,0.5,0.25,0.75
0.5,0.5,0.5,1.0,1.0,1.0,0.375,0.25,0.5,0.875,0.75,1.0
0.625,0.75,0.5,0.875,1.0,0.75,0.625,0.75,0.5,0.875,0.75,1.0
0.375,0.5,0.25,0.5,0.5,0.5,0.625,1.0,0.25,0.5,0.5,0.5
0.5,0.75,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.75,0.5,1.0
0.5,0.25,0.75,0.75,0.5,1.0,1.0,1.0,1.0,0.875,0.75,1.0
0.5,0.75,0.25,0.875,0.75,1.0,0.75,0.75,0.75,0.875,0.75,1.0
0.5,0.75,0.25,0.625,0.75,0.5,0.625,1.0,0.25,0.875,1.0,0.75
0.75,0.75,0.75,0.75,0.5,1.0,0.625,1.0,0.25,0.875,0.75,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.625,0.5,0.75,1.0,1.0,1.0
0.625,0.5,0.75,0.5,0.25,0.75,0.625,1.0,0.25,0.625,0.25,1.0
0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.75,0.25,0.875,1.0,0.75
0.375,0.5,0.25,1.0,1.0,1.0,0.625,1.0,0.25,0.75,0.75,0.75
0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.75,0.5,0.25,0.75
0.625,1.0,0.25,0.875,1.0,0.75,0.625,0.75,0.5,1.0,1.0,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.375,0.25,0.5,0.875,0.75,1.0
0.625,0.25,1.0,0.75,0.5,1.0,0.625,0.25,1.0,0.625,0.25,1.0
0.5,0.0,1.0,0.625,0.25,1.0,0.5,0.0,1.0,0.625,0.25,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.25,1.0,1.0,1.0
0.5,0.25,0.75,0.75,0.75,0.75,0.5,1.0,0.0,0.75,0.75,0.75
0.625,1.0,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.875,0.75,1.0
0.375,0.75,0.0,0.875,0.75,1.0,0.75,0.5,1.0,0.625,0.25,1.0
0.75,1.0,0.5,0.625,0.5,0.75,0.5,0.75,0.25,0.875,0.75,1.0
0.625,0.5,0.75,0.625,0.25,1.0,0.5,0.0,1.0,0.75,0.5,1.0
0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.875,0.75,1.0
0.625,0.75,0.5,1.0,1.0,1.0,0.625,1.0,0.25,0.875,1.0,0.75
0.75,0.75,0.75,0.75,0.5,1.0,0.875,1.0,0.75,0.5,0.0,1.0
0.5,0.25,0.75,0.625,0.5,0.75,0.375,0.5,0.25,0.625,0.25,1.0
0.5,0.0,1.0,0.5,0.0,1.0,0.625,0.5,0.75,0.5,0.0,1.0
0.25,0.5,0.0,1.0,1.0,1.0,0.625,0.75,0.5,0.625,0.5,0.75
0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.25,1.0,1.0,1.0
0.625,0.75,0.5,0.75,1.0,0.5,0.75,0.75,0.75,0.875,0.75,1.0
0.375,0.75,0.0,0.625,0.75,0.5,0.5,0.75,0.25,0.875,0.75,1.0
0.875,0.75,1.0,0.75,0.5,1.0,0.625,0.25,1.0,0.75,0.5,1.0
0.375,0.75,0.0,1.0,1.0,1.0,0.625,0.75,0.5,0.875,0.75,1.0
0.75,0.75,0.75,0.875,0.75,1.0,0.625,0.5,0.75,0.875,0.75,1.0
0.75,1.0,0.5,0.875,0.75,1.0,0.5,0.75,0.25,0.875,1.0,0.75
0.625,1.0,0.25,0.75,1.0,0.5,0.75,0.75,0.75,0.75,0.75,0.75
0.75,1.0,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.875,0.75,1.0
0.625,0.25,1.0,0.625,0.5,0.75,0.625,0.5,0.75,0.75,0.5,1.0
0.5,0.0,1.0,0.75,0.5,1.0,0.375,0.0,0.75,0.5,0.25,0.75
0.375,0.75,0.0,1.0,1.0,1.0,0.625,0.75,0.5,1.0,1.0,1.0
0.375,0.0,0.75,0.625,0.25,1.0,0.625,0.75,0.5,0.625,0.5,0.75
0.625,0.75,0.5,0.625,0.5,0.75,0.625,0.75,0.5,0.875,0.75,1.0
0.5,0.75,0.25,1.0,1.0,1.0,0.5,0.75,0.25,1.0,1.0,1.0
0.625,1.0,0.25,0.75,0.5,1.0,0.625,1.0,0.25,0.875,0.75,1.0
0.625,1.0,0.25,0.625,1.0,0.25,0.75,0.75,0.75,0.875,0.75,1.0
0.75,0.5,1.0,0.625,0.25,1.0,0.625,0.5,0.75,0.625,0.5,0.75
0.5,0.0,1.0,0.625,0.75,0.5,0.875,1.0,0.75,0.75,0.75,0.75
0.625,1.0,0.25,0.625,0.75,0.5,0.625,1.0,0.25,1.0,1.0,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.75,1.0,1.0,1.0
0.5,0.5,0.5,0.625,0.5,0.75,0.75,0.5,1.0,0.625,0.25,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.625,1.0,0.25,1.0,1.0,1.0
0.5,1.0,0.0,0.875,1.0,0.75,0.375,0.5,0.25,0.875,1.0,0.75
0.5,0.75,0.25,0.875,0.75,1.0,0.625,0.25,1.0,0.75,0.5,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.625,1.0,0.25,0.75,0.5,1.0
0.75,1.0,0.5,0.625,0.5,0.75,0.375,0.75,0.0,0.375,0.75,0.0
0.625,0.75,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.75,0.5,1.0
0.625,0.25,1.0,0.875,0.75,1.0,0.875,0.75,1.0,0.625,0.25,1.0
0.75,0.75,0.75,0.875,0.75,1.0,0.625,1.0,0.25,0.625,0.25,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.625,0.5,0.75,0.875,0.75,1.0
0.75,1.0,0.5,0.875,1.0,0.75,0.75,1.0,0.5,0.875,0.75,1.0
0.625,1.0,0.25,0.875,0.75,1.0,0.875,1.0,0.75,0.875,0.75,1.0
0.5,0.25,0.75,0.75,0.5,1.0,0.75,1.0,0.5,0.875,0.75,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.875,1.0,0.75,0.875,0.75,1.0
0.5,0.0,1.0,0.875,0.75,1.0,0.75,0.5,1.0,0.625,0.25,1.0
0.5,0.75,0.25,0.875,0.75,1.0,0.625,0.5,0.75,0.875,0.75,1.0
0.375,0.0,0.75,1.0,1.0,1.0,0.5,1.0,0.0,0.625,0.5,0.75
0.375,0.75,0.0,1.0,1.0,1.0,0.375,0.5,0.25,1.0,1.0,1.0
0.875,1.0,0.75,0.875,0.75,1.0,0.875,0.75,1.0,0.875,0.75,1.0
0.625,0.75,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.625,0.25,1.0
0.625,0.75,0.5,0.875,0.75,1.0,0.625,1.0,0.25,0.625,0.5,0.75
0.5,0.0,1.0,0.5,0.25,0.75,0.75,0.75,0.75,0.625,0.25,1.0
0.5975609756097561,0.7113821138211383,0.483739837398374,0.8445121951219512,0.7865853658536586,0.9024390243902439,0.6422764227642277,0.733739837398374,0.5508130081300813,0.8008130081300813,0.6829268292682927,0.9186991869918699
